,City,Country,Lat,Lon,Temp_F,Humidity(%),Cloudiness(%),Wind Speed (mph)
0,rikitea,pf,-33.52002980328014,-118.9936444852294,77.75,100.0,64.0,14.25
1,kapaa,us,25.27665494232501,-171.82685347179876,67.93,100.0,90.0,17.22
2,bredasdorp,za,-67.80855905383214,17.84211403080738,66.2,63.0,0.0,13.87
3,butaritari,ki,20.91418616092598,179.96574156675922,82.97,98.0,88.0,17.16
4,guerrero negro,mx,13.627682173449898,-129.1111704793836,76.22,38.0,92.0,4.41
5,isangel,vu,-22.732075158356906,175.39028162683883,78.29,100.0,76.0,9.66
6,jamestown,sh,-46.364716037841205,-13.032887958056648,74.42,100.0,88.0,14.47
7,severo-kurilsk,ru,45.1386985837639,158.60523397446826,23.84,100.0,48.0,9.1
9,mar del plata,ar,-41.317301326839534,-51.79427624142596,68.12,39.0,36.0,27.0
10,te anau,nz,-43.4866162435606,163.87616950439354,34.46,81.0,88.0,2.51
11,albany,au,-73.73486908662166,100.69035036384321,64.16,90.0,92.0,12.01
13,andros town,bs,24.013713063736276,-77.62868118207747,75.2,50.0,40.0,8.05
14,adrar,dz,26.64389305318747,-0.5298492654558231,60.8,12.0,0.0,18.34
15,hobart,au,-83.4048880957915,142.4757323624117,55.4,87.0,75.0,4.7
16,bluff,nz,-87.1141700112384,157.55620819601899,52.91,100.0,88.0,13.35
17,bozdar,pk,26.993157579907447,68.88950835344076,74.33,40.0,0.0,7.76
18,bocana de paiwas,ni,13.05716364127494,-84.50413165513552,80.09,71.0,36.0,14.58
20,kizema,ru,60.62265199196591,45.1991115334196,11.51,75.0,76.0,11.34
21,narsaq,gl,85.01911897626587,-63.90787843309239,33.8,69.0,75.0,10.29
22,ossora,ru,58.526781346789164,164.91715174099636,7.82,88.0,64.0,10.67
23,ushuaia,ar,-64.63471853619555,-65.73565507821846,58.19,76.0,75.0,21.92
24,puerto ayora,ec,-6.722912926774043,-113.447041959107,86.0,62.0,40.0,14.99
25,ilanskiy,ru,56.111200236783645,95.94494090514831,16.91,78.0,36.0,2.95
27,bosobolo,cd,4.235835722670487,19.43892605200631,72.35,94.0,8.0,3.06
28,hilo,us,15.0720396858529,-155.04429271983412,77.0,69.0,90.0,9.17
30,vredendal,za,-31.31007931305986,17.485161851031734,71.0,57.0,0.0,4.18
31,petropavlovsk-kamchatskiy,ru,52.17423033813921,159.81035585039416,14.0,61.0,0.0,8.95
32,namatanai,pg,1.0988198241524856,158.25043573967088,83.24,97.0,68.0,14.03
