0,"lat,long,city,country,weather_found,temp_f,humidity_percent,clouds_percent,wind_mph,url_call"
1,"-69.5673962476449,64.00756246687808,taolanaro,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=taolanaro,mg&units=imperial"
2,"-33.52002980328014,-118.9936444852294,rikitea,pf,True,77.75,100,64,14.25,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=rikitea,pf&units=imperial"
3,"25.27665494232501,-171.82685347179876,kapaa,us,True,67.93,100,90,17.22,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kapaa,us&units=imperial"
4,"-67.80855905383214,17.84211403080738,bredasdorp,za,True,66.2,63,0,13.87,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=bredasdorp,za&units=imperial"
5,"20.91418616092598,179.96574156675922,butaritari,ki,True,82.97,98,88,17.16,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=butaritari,ki&units=imperial"
6,"13.627682173449898,-129.1111704793836,guerrero negro,mx,True,76.22,38,92,4.41,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=guerrero negro,mx&units=imperial"
7,"-22.732075158356906,175.39028162683883,isangel,vu,True,78.29,100,76,9.66,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=isangel,vu&units=imperial"
8,"-46.364716037841205,-13.032887958056648,jamestown,sh,True,74.42,100,88,14.47,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=jamestown,sh&units=imperial"
9,"45.1386985837639,158.60523397446826,severo-kurilsk,ru,True,23.84,100,48,9.1,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=severo-kurilsk,ru&units=imperial"
